id,vendor_id,pickup_datetime,dropoff_datetime,passenger_count,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,store_and_fwd_flag,trip_duration
id2875421,2,2016-03-14 17:24:55,2016-03-14 17:32:30,1,-73.982154846191406,40.767936706542969,-73.964630126953125,40.765602111816406,N,455
id0000001,2,2016-06-14 10:43:10,2016-06-14 11:01:35,1,-74.013923645019531,40.713924407958984,-73.971649169921875,40.746406555175781,N,1105
id0000003,2,2016-03-16 10:39:55,2016-03-16 10:57:21,5,-73.990753173828125,40.7547607421875,-74.007118225097656,40.741531372070313,N,1046
id0000005,2,2016-04-25 09:50:48,2016-04-25 09:56:56,1,-73.953109741210937,40.798580169677734,-73.968177795410156,40.800270080566406,N,368
id0000008,1,2016-06-15 09:57:05,2016-06-15 10:02:08,1,-74.009628295898437,40.724761962890625,-74.015869140625,40.715484619140625,N,303
id0000009,1,2016-05-08 01:43:11,2016-05-08 01:52:18,1,-73.987991333007812,40.759899139404297,-73.959686279296875,40.798503875732422,N,547
id0000011,2,2016-03-04 22:20:52,2016-03-04 22:25:08,1,-73.969184875488281,40.765926361083984,-73.981658935546875,40.762233734130859,N,256
id0000013,1,2016-02-19 13:58:59,2016-02-19 14:06:06,1,-73.973442077636719,40.763786315917969,-73.978828430175781,40.751857757568359,N,427
id0000015,1,2016-05-17 09:06:59,2016-05-17 09:39:18,1,-73.983695983886719,40.780948638916016,-73.954376220703125,40.764175415039063,N,1939
id0000016,1,2016-03-29 16:36:36,2016-03-29 16:42:54,1,-73.960319519042969,40.770320892333984,-73.946220397949219,40.772735595703125,N,378
id0000020,2,2016-03-13 03:48:46,2016-03-13 03:53:43,3,-74.004203796386719,40.742225646972656,-73.9945068359375,40.751823425292969,N,297
id0000023,2,2016-05-28 04:34:47,2016-05-28 05:01:47,1,-73.942062377929688,40.817779541015625,-73.788917541503906,40.647388458251953,N,1620
id0000032,1,2016-06-12 22:39:05,2016-06-12 22:42:50,1,-74.002555847167969,40.730438232421875,-74.002532958984375,40.725006103515625,N,225
id0000033,2,2016-06-14 07:25:08,2016-06-14 07:30:34,1,-73.962379455566406,40.755508422851563,-73.972991943359375,40.749309539794922,N,326
id0000034,2,2016-06-12 18:13:23,2016-06-12 18:22:35,1,-73.983978271484375,40.763019561767578,-73.985977172851562,40.752288818359375,N,552
id0000037,2,2016-01-10 11:46:46,2016-01-10 11:54:32,2,-73.986991882324219,40.733249664306641,-74.005966186523438,40.745391845703125,N,466
id0000041,1,2016-06-21 17:16:13,2016-06-21 17:22:16,1,-73.978652954101563,40.772403717041016,-73.981864929199219,40.763862609863281,N,363
